,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,,,
Bulan,Total,Consumption Goods,Raw Material Support,Capital Goods,Total,Consumption Goods,Raw Material Support,Capital Goods,Total,Consumption Goods,Raw Material Support,Capital Goods,Total,Consumption Goods,Raw Material Support,Capital Goods,Total,Consumption Goods,Raw Material Support,Capital Goods
Desember,14506.78,1651.85,10350.90,2504.03,14438.38,1716.02,10172.64,2549.72,2135202,2490.52,15625.02,3236.48,19863.06,1806.58,14425.88,3630.60,19107.14,2050.00,13786.32,3270.83
November,15340.48,1667.81,11114.04,2558.63,12664.41,1300.90,8920.85,2442.66,19328.19,2001.45,14329.81,2996.93,18962.09,1677.19,14069.16,3215.74,19586.55,2009.63,13921.88,3655.04
Oktober,14759.08,1436.11,10834.64,2488.33,10786.02,1035.95,7889.97,1860.09,16293.62,1589.68,12309.67,2394.26,19135.35,1750.90,14308.60,3075.85,18672.91,1818.06,13438.17,3416.68
September,14263.45,1407.53,10222.22,2633.70,11570.10,1120.76,8304.94,2144.40,16234.15,1789.58,12095.40,2349.17,19808.34,1589.88,14903.19,3315.27,17341.61,1665.24,12692.84,2983.53
Agustus,14169.35,1363.84,10293.69,2511.83,10742.41,1193.85,7745.55,1803.00,16678.89,1889.17,12376.29,2413.43,22150.55,1851.27,16757.83,3541.46,18879.83,2137.65,13341.46,3400.72
Juli,15518.48,1465.60,11239.84,2813.04,10464.30,1112.23,7380.64,1971.43,15263.12,1627.86,11558.38,2076.88,21345.03,1648.76,16698.72,2997.55,19570.34,2091.82,13915.83,3562.69
Juni,11495.39,1029.77,8687.66,1777.96,10760.32,1408.09,7572.41,1779.81,17218.46,1643.56,13029.26,2545.64,21003.85,1697.92,16229.61,3076.33,17150.49,1586.02,12361.85,3202.62
Mei,14606.66,1553.19,10692.25,2361.21,8438.63,93469,6095.84,1408.09,14234.82,1405.55,10943.87,1885.40,18609.29,1515.43,14658.13,2435.72,21279.59,2068.54,15306.64,3904.42
April,15399.19,1460.22,11525.20,2413.77,12535.23,1214.98,9311.47,2008.78,16204.34,1629.59,12380.11,2194.63,19757.45,1698.37,15531.89,2527.19,15347.61,1398.17,11597.87,2351.57
Maret,13746.62,1169.46,10289.68,2287.48,13352.18,1269.26,10235.59,1847.32,16787.51,1443.31,12936.33,2407.88,21962.42,1814.33,17014.85,3133.23,20588.05,1761.45,15114.16,3712.44
Februari,12465.07,1027.76,9186.47,2250.84,11548.10,88184,8790.00,1876.26,13264.97,1240.38,9871.89,2152.70,16638.51,1202.65,12831.48,2604.38,15919.17,1364.09,11791.92,2763.16
Januari,15005.19,1220.90,11385.50,2398.79,14268.72,1467.16,10524.91,227664,13329.90,1432.20,9924.14,1973.57,18211.10,1579.09,13830.72,2801.30,18442.93,1596.24,13886.90,2959.79
